Q2796795,Boetelerveld,Boetelerveld%20(Natura%202000)
Q2800398,Markiezaat,Markiezaat%20(Natura%202000)
Q13574218,"Drents-Friese Wold & Leggelderveld",Drents-Friese%20Wold%20&%20Leggelderveld%20(Natura%202000)
Q13740885,"Kampina & Oisterwijkse Vennen",Kampina%20&%20Oisterwijkse%20Vennen%20(Natura%202000)
Q13572232,"Deurnsche Peel & Mariapeel",Deurnsche%20Peel%20&%20Mariapeel%20(Natura%202000)
Q13731828,"Ilperveld, Varkensland, Oostzanerveld & Twiske","Ilperveld,%20Varkensland,%20Oostzanerveld%20&%20Twiske%20(Natura%202000)"
Q13446822,"Buurserzand & Haaksbergerveen",Buurserzand%20&%20Haaksbergerveen%20(Natura%202000)
Q2114591,"Bakkeveense Duinen",Bakkeveense%20Duinen%20(Natura%202000)
Q2135674,Leekstermeergebied,Leekstermeergebied%20(Natura%202000)
Q42262140,"Manteling van Walcheren",Manteling%20van%20Walcheren%20(Natura%202000)
Q2098798,"Polder Westzaan",Polder%20Westzaan%20(Natura%202000)
Q13438505,"Bemelerberg & Schiepersberg",Bemelerberg%20&%20Schiepersberg%20(Natura%202000)
Q108052712,"Vlakte van de Raan",Vlakte%20van%20de%20Raan%20(Natura%202000)
Q2654684,Leudal,Leudal%20(Natura%202000)
Q2616484,"Duinen Den Helder-Callantsoog",Duinen%20Den%20Helder-Callantsoog%20(Natura%202000)
Q108052657,"Kolland & Overlangbroek",Kolland%20&%20Overlangbroek%20(Natura%202000)
Q2628028,"Oeffelter Meent",Oeffelter%20Meent%20(Natura%202000)
Q42314112,"Uiterwaarden Neder-Rijn",Uiterwaarden%20Neder-Rijn%20(Natura%202000)
Q111829854,Dinkelland,Dinkelland%20(Natura%202000)
Q2349579,Veluwerandmeren,Veluwerandmeren%20(Natura%202000)
Q1703071,Meinweg,Meinweg%20(Natura%202000)
Q14520246,"Wormer- en Jisperveld & Kalverpolder",Wormer-%20en%20Jisperveld%20&%20Kalverpolder%20(Natura%202000)
Q2057280,"Brabantse Wal",Brabantse%20Wal%20(Natura%202000)
Q108052662,"Landgoederen Brummen",Landgoederen%20Brummen%20(Natura%202000)
Q108052678,Lonnekermeer,Lonnekermeer%20(Natura%202000)
Q108052717,"Westduinpark & Wapendal",Westduinpark%20&%20Wapendal%20(Natura%202000)
Q2674405,"Sint Jansberg",Sint%20Jansberg%20(Natura%202000)
